ID,Módulo,Prioridad,Rol (Usuario),Quiero (Acción),Para (Resultado),Valor Aportado,Criterios de Aceptación,Complejidad,Esfuerzo (Puntos de Historia),Responsable
HU-054,Backend,Alta,Agricultor,Alerta Push Heladas,Aviso si bajará de 0 grados,Salvar cosecha con humo/invernadero,Notificación móvil si min_temp < 2C,Alta,8,Estudiante 6
HU-055,Backend,Alta,Agricultor,Alerta Push Sequía,Aviso si van 10 días sin lluvia,Activar riego de emergencia,Notificación generada por cruce de datos,Alta,8,Estudiante 1
HU-056,Backend,Media,Agricultor,Sugerencia No Abonar,Aviso de tormenta próxima,Ahorrar fertilizante que se lavaría,Banner amarillo de advertencia en pantalla,Media,5,Estudiante 2
HU-057,Frontend,Alta,Dev,Service Worker (Modo Offline),Hacer PWA instalable,Accesibilidad en áreas rurales sin señal,App instalable en celular y cache local activo,Alta,13,Estudiante 3
HU-058,Frontend,Alta,Agricultor,Guardar Parcelas Offline,Poder ver lotes sin internet,Continuidad de trabajo,Datos almacenados en IndexedDB temporal,Media,8,Estudiante 4
HU-059,Frontend,Alta,Agricultor,Registrar Abono Offline,Trabajar en zonas muertas de señal,Usabilidad rural,Formulario encolado localmente sin errores,Alta,13,Estudiante 5
HU-060,Frontend,Alta,Sistema,Sincronización Automática,Subir datos encolados al conectar a wifi,Integridad de base de datos,La cola local se vacía al detectar objeto navigator.onLine,Alta,13,Estudiante 6
HU-061,Backend,Media,Sistema,Resolución Conflictos Offline,Mantener el dato más reciente si hay choque,Fiabilidad de datos,"Lógica de 'Last Write Wins' usando timestamp",Media,5,Estudiante 1
HU-062,UX,Alta,Agricultor,Navegación Móvil Inferior,Usar la app a una sola mano en el campo,Comodidad ergonómica,Menú bottom-bar implementado en pantallas <768px,Media,5,Estudiante 2
HU-063,UX,Media,Todos,Modo Oscuro,Reducir cansancio visual de noche,Salud laboral,Botón toggle funcional y CSS variables configuradas,Media,5,Estudiante 3
HU-064,Frontend,Baja,GlobalOwner,Traducción EN/ES,Cambiar idioma de la plataforma,Expansión a nuevos países B2G,Sistema i18n traduciendo textos estáticos,Media,5,Estudiante 4
HU-065,Frontend,Media,Todos,Centro de Notificaciones,Ver historial de alertas climáticas,Seguimiento,Campana con contador dinámico en topbar,Media,5,Estudiante 5
HU-066,UX,Baja,Agricultor,Modo Alto Contraste,Poder leer la app bajo el sol directo,Accesibilidad al aire libre,Paleta de colores saturada opcional activada,Baja,2,Estudiante 6
HU-067,Frontend,Media,Sistema,Lazy Loading de Imágenes,Cargar rápido el mapa y fotos,Ahorro de datos móviles rurales,Imágenes cargando solo al hacer scroll (IntersectionObserver),Baja,3,Estudiante 1
HU-068,Frontend,Media,Sistema,Caché de Catálogos Oficiales,Evitar descargar catálogos en cada login,Rendimiento y velocidad,Catálogos cacheados por 24 horas,Media,5,Estudiante 2
HU-069,UX,Media,Ministerio,Rediseño Tablas Administrativas,Facilitar lectura de censos nacionales,Análisis masivo,DataGrid con paginación y filtros complejos activos,Media,5,Estudiante 3
HU-070,QA,Alta,Dev,Test Rendimiento Lighthouse,Asegurar carga ultrarrápida,Calidad técnica B2G,Score de Lighthouse > 90 en Performance celular,Media,5,Estudiante 4
HU-071,Backend,Alta,Dev,Servidor Signaling WebRTC,Conectar pares para video,Soporte remoto,Servidor de websockets activo y transmitiendo ICE candidates,Alta,13,Estudiante 5
HU-072,Frontend,Alta,Agricultor,Interfaz Videollamada Campo,Mostrar mi cámara al ingeniero,Diagnóstico visual de plagas,Video renderizado sin latencia alta,Alta,13,Estudiante 6
HU-073,UX,Media,Agricultor,Permisos Cámara/Micrófono,Dar acceso al hardware del celular,Comunicación multimedia,Diálogo nativo del navegador validado correctamente,Baja,2,Estudiante 1
HU-074,Frontend,Alta,Todos,Chat de Texto Tiempo Real,Preguntar dudas rápidas a la cooperativa,Soporte asíncrono,Mensaje enviado y recibido en menos de 1 segundo,Alta,8,Estudiante 2
HU-075,Frontend,Media,Agricultor,Enviar Imágenes por Chat,Mostrar foto detallada al técnico,Soporte técnico,Imagen comprimida y enviada vía bucket de storage,Media,5,Estudiante 3
HU-076,Frontend,Baja,Todos,Indicador 'Escribiendo...',Saber si el técnico está respondiendo,Mejora UX comunicativa,Animación de 3 puntos mostrada vía socket,Baja,2,Estudiante 4
HU-077,Backend,Alta,Ministerio,Sistema Suspensión Cooperativas,Bloquear nodos por faltas legales,Control estatal B2G,Botón de suspender inactiva en cascada a sus agricultores,Media,5,Estudiante 5
HU-078,UX,Alta,Ministerio,Mapa Nacional Interactivo,Ver focos de producción de maíz vs frijol,Análisis macroeconómico,Mapa del país con clusters (pines agrupados),Alta,13,Estudiante 6
HU-079,Frontend,Alta,Ministerio,Gráfico Rendimiento Nacional,Ver toneladas de cosecha proyectadas mes a mes,Proyección de seguridad alimentaria,Gráficos de barras Chart.js renderizados,Media,5,Estudiante 1
HU-080,Frontend,Media,Ministerio,Reporte Actividad Cooperativas,Listar cooperativas con más adopción,Gestión de métricas,Tabla con conteo de agricultores activos,Media,5,Estudiante 2
HU-081,Frontend,Alta,Cooperativa,Dashboard de Cooperativa,Ver métricas consolidadas de las fincas afiliadas,Microeconomía regional,KPI cards mostrando sumatoria de hectáreas registradas,Media,8,Estudiante 3
HU-082,UX,Alta,Agricultor,Dashboard de Agricultor,Tener resumen inmediato de mi finca,Control visual rápido,Dashboard combina widgets de clima y tareas del día,Media,8,Estudiante 4
HU-083,Backend,Alta,GlobalOwner,Telemetría del Servidor,Revisar carga de CPU y Base de datos,Mantenimiento preventivo,Gráficos de consumo interno (Ej: Supabase Dashboard),Alta,8,Estudiante 5
HU-084,Backend,Media,GlobalOwner,Monitoreo Uso de APIs Externas,Ver peticiones hechas a clima o SMS,Control de costos de servidor,Contador de requests actualizado cada hora,Media,5,Estudiante 6
HU-085,Frontend,Media,Ministerio,Exportar Censo Nacional (Excel),Descargar data para informes de gobierno,Burocracia y transparencia,Botón descarga un archivo .xlsx formateado,Media,5,Estudiante 1
HU-086,Frontend,Media,Cooperativa,Exportar Finanzas (Excel),Descargar uso de fertilizantes,Contabilidad y compras,Archivo xlsx con desglose de químicos aplicados,Media,5,Estudiante 2
HU-087,Frontend,Baja,Agricultor,Formulario Sugerir Mejoras,Enviar feedback sobre la aplicación,Evolución centrada en el usuario,Mensaje de feedback almacenado en tabla sugerencias,Baja,2,Estudiante 3
HU-088,DevOps,Alta,Dev,Backup Automático de DB,Resguardar data nacional contra borrados,Seguridad de estado B2G,Cron job ejecutando pg_dump diariamente,Media,5,Estudiante 4
HU-089,DevOps,Alta,Dev,Restauración de Backup,Recuperar el sistema ante caídas,Seguridad de desastres,Script documentado capaz de restaurar SQL,Alta,8,Estudiante 5
HU-090,QA,Alta,Dev,Pruebas de Carga Masiva (Stress Test),Asegurar que aguanta 100 mil usuarios rurales,Estabilidad de escala B2G,Servidor responde a test de Artillery sin colapsar (Error 500),Alta,13,Estudiante 6
